Player_ID,Name,Age,Nationality,Best Position,photoUrl
158023,L. Messi,33,Argentina,RW,https://cdn.sofifa.com/players/158/023/21_60.png
20801,Cristiano Ronaldo,35,Portugal,ST,https://cdn.sofifa.com/players/020/801/21_60.png
200389,J. Oblak,27,Slovenia,GK,https://cdn.sofifa.com/players/200/389/21_60.png
192985,K. De Bruyne,29,Belgium,CAM,https://cdn.sofifa.com/players/192/985/21_60.png
190871,Neymar Jr,28,Brazil,LW,https://cdn.sofifa.com/players/190/871/21_60.png
188545,R. Lewandowski,31,Poland,ST,https://cdn.sofifa.com/players/188/545/21_60.png
209331,M. Salah,28,Egypt,RW,https://cdn.sofifa.com/players/209/331/21_60.png
212831,Alisson,27,Brazil,GK,https://cdn.sofifa.com/players/212/831/21_60.png
231747,K. Mbappé,21,France,ST,https://cdn.sofifa.com/players/231/747/21_60.png
192448,M. ter Stegen,28,Germany,GK,https://cdn.sofifa.com/players/192/448/21_60.png
203376,V. van Dijk,28,Netherlands,CB,https://cdn.sofifa.com/players/203/376/21_60.png
208722,S. Mané,28,Senegal,LW,https://cdn.sofifa.com/players/208/722/21_60.png
200145,Casemiro,28,Brazil,CDM,https://cdn.sofifa.com/players/200/145/21_60.png
192119,T. Courtois,28,Belgium,GK,https://cdn.sofifa.com/players/192/119/21_60.png
167495,M. Neuer,34,Germany,GK,https://cdn.sofifa.com/players/167/495/21_60.png
165153,K. Benzema,32,France,CF,https://cdn.sofifa.com/players/165/153/21_60.png
155862,Sergio Ramos,34,Spain,CB,https://cdn.sofifa.com/players/155/862/21_60.png
153079,S. Agüero,32,Argentina,ST,https://cdn.sofifa.com/players/153/079/21_60.png
202652,R. Sterling,25,England,LW,https://cdn.sofifa.com/players/202/652/21_60.png
215914,N. Kanté,29,France,CDM,https://cdn.sofifa.com/players/215/914/21_60.png
212622,J. Kimmich,25,Germany,CDM,https://cdn.sofifa.com/players/212/622/21_60.png
211110,P. Dybala,26,Argentina,CAM,https://cdn.sofifa.com/players/211/110/21_60.png
210257,Ederson,26,Brazil,GK,https://cdn.sofifa.com/players/210/257/21_60.png
