Player_ID,Club_ID,Value_Num_in_EUR,Wage_Num_in_EUR,Release Clause_Num_in_EUR,OVA,POT,Age
158023,1,103500000,560000,138400000,93,93,33
20801,2,63000000,220000,75900000,92,92,35
200389,3,120000000,125000,159400000,91,93,27
192985,4,129000000,370000,161000000,91,91,29
190871,5,132000000,270000,166500000,91,91,28
188545,6,111000000,240000,132000000,91,91,31
209331,7,120500000,250000,144300000,90,90,28
212831,7,102000000,160000,120300000,90,91,27
231747,5,185500000,160000,203100000,90,95,21
192448,1,110000000,260000,147700000,90,93,28
203376,7,113000000,210000,145300000,90,91,28
208722,7,120500000,250000,144300000,90,90,28
200145,8,90500000,310000,122000000,89,89,28
192119,8,82000000,250000,119000000,89,90,28
167495,6,17500000,130000,47900000,89,89,34
165153,8,83500000,350000,108700000,89,89,32
155862,8,33500000,300000,50200000,89,89,34
153079,4,83500000,300000,98100000,89,89,32
202652,4,114500000,270000,139600000,88,90,25
215914,9,78000000,190000,96900000,88,88,29
212622,6,103000000,145000,112100000,88,90,25
211110,2,109000000,190000,122500000,88,89,26
210257,4,92000000,195000,103000000,88,91,26
202126,10,109000000,220000,140200000,88,89,26
162835,11,10000000,100000,27200000,88,88,35
201024,12,76500000,140000,85000000,88,88,29
183277,8,89500000,350000,118900000,88,88,29
182521,8,87500000,310000,112800000,88,88,30
194765,1,79500000,290000,103500000,87,87,29
233049,13,124000000,82000,132100000,87,93,20
231281,7,114000000,110000,115500000,87,92,21
218667,4,95000000,230000,115500000,87,88,25
216267,7,90500000,155000,102000000,87,89,26
212218,4,92500000,200000,107800000,87,90,26
212198,14,105500000,195000,124400000,87,90,25
209499,7,88500000,155000,104900000,87,89,26
200104,10,85000000,165000,99800000,87,87,27
201942,7,81500000,190000,96200000,87,87,28
193041,5,26000000,110000,50000000,87,87,33
138956,2,21000000,95000,25600000,87,87,35
189511,1,56000000,240000,77900000,87,87,31
188567,15,67500000,170000,85500000,87,87,31
186153,2,53000000,105000,56100000,87,87,30
183898,5,63000000,160000,72200000,87,87,32
177003,8,36500000,260000,50200000,87,87,34
176580,3,51000000,115000,64599999,87,87,33
167948,10,26000000,125000,51300000,87,87,33
192387,16,78000000,125000,82500000,87,87,30
189596,6,65500000,130000,69300000,86,86,30
193080,14,46500000,150000,59900000,86,86,29
204963,8,61500000,230000,77900000,86,86,28
201535,8,72500000,220000,98800000,86,88,27
199556,5,77500000,135000,96300000,86,87,27
195864,14,77500000,190000,98800000,86,87,27
208830,17,43500000,160000,53200000,86,86,33
152729,1,32500000,220000,43100000,86,86,33
178603,13,46500000,95000,56100000,86,86,31
177683,18,36000000,55000,48500000,86,86,31
168542,19,32000000,58000,47300000,86,86,34
143076,20,54000000,100000,58700000,86,86,32
189332,1,49500000,220000,65599999,86,86,31
